price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
3250000,2018-04-28,10:19:50,47.2322363,39.7273503,3230.0,3.0,2.0,4.0,1.0,42.0,8.0,1.0
6500000,2018-04-28,12:55:44,55.8760589,37.3882166,81.0,1.0,16.0,22.0,3.0,81.0,14.0,11.0
6300000,2018-04-28,17:47:24,59.9116217,30.2845562,2661.0,3.0,5.0,5.0,2.0,99.9,14.5,1.0
2500000,2018-04-30,19:14:08,57.9897,56.193996,5520.0,3.0,3.0,5.0,3.0,59.0,6.0,1.0
20900000,2018-05-01,13:33:09,55.730785,37.631424,3.0,3.0,6.0,10.0,3.0,80.0,8.2,1.0
1450000,2018-05-04,05:38:11,53.2419091,83.7046163,6817.0,3.0,4.0,4.0,2.0,44.0,6.0,1.0
3650000,2018-05-11,10:24:21,56.3861027,61.9263927,6171.0,1.0,1.0,9.0,5.0,97.8,11.0,1.0
12000000,2018-05-12,21:08:19,55.627136,37.591736,3.0,1.0,4.0,9.0,3.0,64.9,7.0,1.0
1380000,2018-05-14,13:08:20,56.7714397,61.3265371,6171.0,3.0,2.0,3.0,3.0,67.0,9.0,1.0
1650000,2018-05-14,14:36:10,56.1443201,44.1946326,2871.0,3.0,5.0,5.0,2.0,45.5,6.0,1.0
2200000,2018-05-16,11:09:14,54.8934613,38.0789395,81.0,3.0,4.0,5.0,1.0,31.0,6.0,1.0
4550000,2018-05-16,11:32:28,55.9589987,38.035054,81.0,1.0,2.0,16.0,2.0,56.5,11.0,1.0
4800000,2018-05-16,15:24:56,51.8065028,107.6587536,9579.0,3.0,2.0,5.0,4.0,109.0,11.0,1.0
1150000,2018-05-19,14:40:22,57.64913,39.946823,2604.0,1.0,3.0,9.0,1.0,23.0,5.0,1.0
7100000,2018-05-22,11:26:47,60.0111721,30.2437953,2661.0,3.0,7.0,12.0,3.0,69.0,11.0,1.0
2350000,2018-05-24,13:53:59,47.228601,39.703883,3230.0,3.0,9.0,10.0,1.0,38.0,6.0,1.0
2350000,2018-05-26,20:15:51,60.061924,30.4731417,3446.0,2.0,7.0,17.0,1.0,44.0,12.0,11.0
8500000,2018-05-26,21:20:25,59.8491039,30.3141123,2661.0,3.0,14.0,14.0,2.0,60.0,11.0,1.0
1050000,2018-05-28,14:49:22,63.5659569,53.6612008,4417.0,1.0,4.0,5.0,1.0,25.0,6.0,1.0
1500000,2018-05-29,20:34:52,54.524271,52.807177,2922.0,1.0,2.0,5.0,2.0,44.0,6.0,1.0
3468912,2018-05-29,23:50:20,55.4508833,37.5420696,81.0,3.0,11.0,20.0,2.0,63.3,12.8,11.0
2700000,2018-05-30,19:27:04,45.0821634,39.1996631,2843.0,1.0,3.0,5.0,3.0,59.0,6.0,1.0
2400000,2018-05-31,12:31:40,56.8757566,53.291533,1010.0,1.0,4.0,5.0,4.0,58.0,5.6,1.0
2450000,2018-06-02,13:02:33,56.4964303,60.2373511,6171.0,3.0,4.0,5.0,3.0,67.0,7.6,1.0
3830000,2018-06-02,13:27:09,59.9814905,30.3717295,2661.0,2.0,2.0,17.0,1.0,44.9,16.5,11.0
3590000,2018-06-04,12:36:14,55.9493208,37.1802937,81.0,2.0,3.0,15.0,1.0,36.0,11.3,1.0
2980000,2018-06-04,21:48:53,65.9890409,57.5406513,4417.0,1.0,7.0,9.0,2.0,52.0,12.0,1.0
2750000,2018-06-05,13:41:12,55.7403214,38.0228009,81.0,3.0,5.0,5.0,1.0,32.0,6.0,1.0
6800000,2018-06-07,02:15:15,43.4847646,43.5942119,9648.0,4.0,4.0,9.0,3.0,97.0,30.0,1.0
13825000,2018-06-07,08:59:31,55.888657,37.4303702,81.0,3.0,7.0,7.0,2.0,197.5,14.8,11.0
4000000,2018-06-07,14:11:48,55.7770621,49.2167663,2922.0,2.0,11.0,14.0,2.0,66.0,10.6,11.0
3800000,2018-06-08,14:49:04,45.067703,38.954166,2843.0,3.0,5.0,19.0,2.0,60.0,12.0,1.0
4630000,2018-06-09,11:01:44,56.865892,53.2352957,1010.0,3.0,3.0,17.0,3.0,91.1,20.0,11.0
4300000,2018-06-09,11:09:19,56.865892,53.2352957,1010.0,3.0,7.0,17.0,3.0,85.0,28.7,11.0
3500000,2018-06-12,12:09:54,55.6511052,51.7998882,2922.0,1.0,5.0,9.0,3.0,84.0,14.0,1.0
1150000,2018-06-12,14:22:07,61.6726395,50.7817356,4417.0,5.0,2.0,2.0,3.0,53.0,8.5,1.0
2180000,2018-06-12,23:42:28,46.049551,38.166542,2843.0,3.0,4.0,5.0,2.0,52.6,9.0,1.0
5300000,2018-06-13,10:40:59,55.5799788,38.2485275,81.0,3.0,4.0,9.0,2.0,60.0,10.0,1.0
4200000,2018-06-13,11:05:52,55.5752478,38.2531333,81.0,3.0,3.0,17.0,1.0,43.0,13.6,1.0
1500000,2018-06-18,13:01:53,54.8886973,38.6052049,81.0,3.0,2.0,2.0,2.0,40.0,6.0,1.0
5750000,2018-06-20,15:52:13,55.704428,37.766989,3.0,1.0,8.0,9.0,1.0,32.0,6.0,1.0
1350000,2018-06-22,14:26:40,56.3491983,30.5329775,7793.0,1.0,1.0,5.0,1.0,38.5,11.0,1.0
1650000,2018-06-25,08:22:14,56.3891952,61.9614227,6171.0,3.0,3.0,4.0,3.0,76.0,6.0,1.0
5350000,2018-06-25,12:11:49,47.2318203,39.7086225,3230.0,3.0,8.0,19.0,2.0,82.0,12.0,11.0
5200000,2018-06-27,15:09:04,55.5065146,37.9481675,81.0,1.0,5.0,9.0,2.0,73.0,16.0,1.0
11535000,2018-06-28,17:08:39,55.7244072,37.7409377,3.0,1.0,15.0,24.0,3.0,80.9,14.0,1.0
3900000,2018-06-29,22:52:08,59.9992721,29.7702254,2661.0,3.0,3.0,4.0,2.0,52.6,8.8,1.0
3400000,2018-06-30,23:16:17,56.0944479,37.5039916,81.0,1.0,4.0,5.0,2.0,43.9,7.0,1.0
2290000,2018-07-02,14:53:43,47.1974908,39.6263036,3230.0,3.0,9.0,22.0,1.0,44.0,10.0,1.0
1300000,2018-07-02,15:59:26,43.0208992,44.652087,13919.0,3.0,4.0,5.0,1.0,35.0,10.0,1.0
1080000,2018-07-03,07:34:59,55.4004556,86.0184299,2860.0,3.0,1.0,2.0,2.0,42.0,6.0,1.0
5500000,2018-07-03,12:45:42,45.019793,39.039489,2843.0,4.0,6.0,12.0,3.0,84.0,23.0,1.0
1000000,2018-07-03,15:35:00,45.1028818,38.6376167,2843.0,1.0,2.0,3.0,1.0,40.0,12.0,1.0
2900000,2018-07-03,16:24:01,45.0623092,38.9657259,2843.0,3.0,11.0,17.0,1.0,44.0,14.0,11.0
4500000,2018-07-04,10:52:34,59.8703882,29.8671938,2661.0,1.0,1.0,6.0,3.0,68.0,8.3,1.0
1200000,2018-07-04,11:11:07,65.1328754,57.1568845,4417.0,3.0,2.0,5.0,2.0,43.7,5.6,1.0
2040000,2018-07-05,14:37:09,58.0208111,38.848565,2604.0,1.0,9.0,9.0,3.0,63.0,8.0,1.0
2200000,2018-07-09,13:19:37,56.128531,47.344013,3019.0,3.0,3.0,16.0,2.0,74.0,14.0,11.0
2350000,2018-07-09,13:41:50,56.0787168,54.235706,2722.0,3.0,5.0,9.0,2.0,47.0,8.4,1.0
6680000,2018-07-09,21:30:29,59.892994,30.4140096,2661.0,3.0,2.0,5.0,2.0,59.0,8.0,1.0
2150000,2018-07-10,10:01:55,59.9125233,29.7812802,2661.0,3.0,5.0,5.0,1.0,32.0,6.0,1.0
3100000,2018-07-11,16:47:23,55.7362897,49.1002256,2922.0,1.0,8.0,10.0,1.0,39.6,8.8,1.0
2900000,2018-07-12,12:52:00,56.334567,38.142952,81.0,3.0,2.0,9.0,1.0,37.5,9.0,1.0
1350000,2018-07-13,16:20:50,57.6215477,39.8977411,2604.0,3.0,4.0,5.0,1.0,33.0,7.0,1.0
2600000,2018-07-13,16:29:05,46.6861046,38.2920057,2843.0,3.0,1.0,5.0,3.0,63.0,9.0,1.0
7101000,2018-07-16,21:07:14,59.8513073,30.0216431,2661.0,3.0,3.0,25.0,2.0,63.8,13.0,1.0
3900000,2018-07-17,01:10:31,56.0666344,37.3794319,81.0,4.0,3.0,4.0,1.0,47.0,11.0,1.0
6990000,2018-07-17,12:50:34,55.7238127,37.4347638,3.0,3.0,1.0,5.0,2.0,44.0,6.0,1.0
1000000,2018-07-19,09:49:05,56.874725,53.239742,1010.0,3.0,1.0,5.0,2.0,23.0,5.0,1.0
3300000,2018-07-20,16:26:10,47.1383299,39.7507179,3230.0,3.0,6.0,9.0,4.0,74.0,10.0,1.0
1590000,2018-07-22,09:14:37,47.2745017,38.9277634,3230.0,3.0,1.0,3.0,1.0,38.0,11.0,1.0
5500000,2018-07-22,23:00:02,55.4951868,37.5543618,3.0,2.0,13.0,17.0,2.0,63.0,10.0,1.0
2050000,2018-07-26,07:38:12,55.10736,61.616595,5282.0,3.0,6.0,9.0,3.0,61.0,9.0,1.0
1950000,2018-07-26,13:59:57,56.6496542,47.897717,4982.0,3.0,9.0,9.0,1.0,45.0,14.0,11.0
1350000,2018-07-27,09:59:55,56.7990297,59.9012546,6171.0,1.0,4.0,5.0,2.0,42.0,5.0,1.0
2430000,2018-07-27,11:13:53,45.0648634,39.0371658,2843.0,2.0,10.0,17.0,1.0,51.0,20.0,1.0
2400000,2018-07-27,11:54:05,43.504688,43.627886,9648.0,3.0,1.0,9.0,2.0,55.0,10.0,1.0
2700000,2018-07-27,12:48:28,47.2367538,39.8040792,3230.0,3.0,4.0,5.0,3.0,62.0,6.0,1.0
1320000,2018-07-27,20:50:22,54.1864545,45.1459586,5241.0,3.0,2.0,2.0,2.0,39.0,4.2,1.0
4000000,2018-07-29,11:43:02,56.7607948,60.701983,6171.0,1.0,4.0,9.0,4.0,64.0,8.0,1.0
6390000,2018-07-29,15:38:03,59.9230199,30.4489763,2661.0,1.0,9.0,10.0,3.0,72.4,8.7,1.0
3700000,2018-07-30,15:59:39,55.3999414,37.768844,81.0,1.0,13.0,14.0,2.0,56.6,8.1,1.0
8280000,2018-07-30,16:00:13,59.919874,30.371959,2661.0,2.0,10.0,10.0,2.0,64.5,9.9,1.0
2991978,2018-07-31,10:33:09,59.7009509,30.3958856,2661.0,1.0,1.0,5.0,-1.0,23.6,4.6,11.0
5800000,2018-07-31,10:33:17,60.022958,30.370369,2661.0,2.0,6.0,14.0,1.0,47.1,12.0,1.0
1980000,2018-07-31,14:34:28,59.454253,29.5000055,3446.0,1.0,5.0,5.0,2.0,54.3,8.4,1.0
3150000,2018-07-31,20:46:50,58.631363,59.7853588,6171.0,4.0,2.0,4.0,3.0,76.6,9.0,1.0
2600000,2018-08-01,09:18:43,56.1205946,93.331962,3870.0,1.0,4.0,5.0,3.0,69.0,9.0,1.0
2350000,2018-08-01,10:50:24,43.4923108,43.5935978,9648.0,3.0,3.0,7.0,1.0,44.0,11.0,1.0
10499000,2018-08-01,11:31:39,55.8863052,37.4326773,81.0,1.0,6.0,23.0,4.0,110.0,12.0,1.0
2600000,2018-08-02,09:30:45,57.6073975,39.8395594,2604.0,3.0,1.0,4.0,1.0,42.0,11.0,1.0
2220000,2018-08-03,09:15:28,53.3354981,83.7882999,6817.0,3.0,2.0,3.0,2.0,44.0,7.0,1.0
1250000,2018-08-03,10:57:36,56.7439851,38.881941,2604.0,3.0,3.0,5.0,1.0,32.0,6.0,1.0
3100000,2018-08-03,12:13:13,56.3062548,38.1502661,81.0,3.0,3.0,5.0,3.0,57.0,6.0,1.0
